ST,CB,PB,GO,CA,Methodology,Rebal.,Cost,Volatility,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M
90,0,0,5,5,1-OFF,YES,193,7.094274987638038,-0.13,-17.89,-5.09,-1.94,6.15
90,0,0,5,5,DCA,NO,193,6.273423744316043,-0.13,-15.89,2.84,4.69,11.68
90,0,0,5,5,DCA,YES,193,5.698726007577313,-0.05,-15.82,3.76,3.91,10.42
90,0,0,0,10,1-OFF,NO,184,6.961865279964284,-0.32,-18.08,-6.12,-3.31,4.62
90,0,0,0,10,1-OFF,YES,184,6.979664443618498,-0.32,-17.96,-5.76,-2.91,5.05
90,0,0,0,10,DCA,NO,184,6.272461459669022,-0.32,-15.92,2.34,4.15,11.23
90,0,0,0,10,DCA,YES,184,5.696442987102941,-0.21,-15.81,3.3,3.4,10.03
85,15,0,0,0,1-OFF,NO,185,6.629239170464929,-0.14,-17.13,-4.6,-2.42,4.95
85,15,0,0,0,1-OFF,YES,185,6.6789616359322705,-0.14,-17.02,-4.29,-1.99,5.48
85,15,0,0,0,DCA,NO,185,6.266571466968775,-0.14,-15.33,3.1,4.2,10.7
85,15,0,0,0,DCA,YES,185,5.669709180973839,-0.05,-15.22,3.9,3.43,9.56
85,10,5,0,0,1-OFF,NO,194,6.542381382091735,-0.06,-16.92,-4.8,-2.55,4.77
85,10,5,0,0,1-OFF,YES,194,6.602009628623414,-0.06,-16.85,-4.46,-2.11,5.29
85,10,5,0,0,DCA,NO,194,6.265457491824675,-0.06,-15.16,2.81,4.05,10.54
85,10,5,0,0,DCA,YES,194,5.666659991316967,0.04,-15.07,3.64,3.28,9.37
85,10,0,5,0,1-OFF,NO,190,6.70970308683733,-0.0,-16.97,-4.18,-1.5,5.95
85,10,0,5,0,1-OFF,YES,190,6.772590164340089,-0.0,-16.91,-3.94,-1.2,6.42
85,10,0,5,0,DCA,NO,190,6.267763510241624,-0.0,-15.2,3.3,4.64,11.12
85,10,0,5,0,DCA,YES,190,5.673483948003209,0.06,-15.13,4.12,3.88,9.92
85,10,0,0,5,1-OFF,NO,182,6.603693175504042,-0.19,-17.11,-5.0,-2.65,4.76
85,10,0,0,5,1-OFF,YES,182,6.64666859764734,-0.19,-16.99,-4.62,-2.18,5.31
85,10,0,0,5,DCA,NO,182,6.266770076744814,-0.19,-15.23,2.8,4.11,10.67
85,10,0,0,5,DCA,YES,182,5.671123929703289,-0.1,-15.11,3.66,3.37,9.54
85,5,10,0,0,1-OFF,NO,203,6.457543885588494,0.02,-16.71,-4.99,-2.69,4.58
85,5,10,0,0,1-OFF,YES,203,6.52646155854711,0.02,-16.68,-4.63,-2.24,5.1
85,5,10,0,0,DCA,NO,203,6.264344879299753,0.02,-14.99,2.53,3.91,10.38
85,5,10,0,0,DCA,YES,203,5.663606209511288,0.12,-14.92,3.39,3.14,9.19
85,5,5,5,0,1-OFF,NO,199,6.619487102438154,0.07,-16.76,-4.38,-1.64,5.77
85,5,5,5,0,1-OFF,YES,199,6.692851762130944,0.07,-16.74,-4.11,-1.32,6.22
85,5,5,5,0,DCA,NO,199,6.266652257547064,0.07,-15.03,3.02,4.5,10.96
85,5,5,5,0,DCA,YES,199,5.670423941609587,0.15,-14.97,3.87,3.74,9.73
