Date,Price,Vol.,Change%
Nov-14-2020,177.16,,0%
Nov-15-2020,177.16,,0%
Nov-16-2020,177.15,8.35M,-0.01%
Nov-17-2020,176.50,8.16M,-0.37%
Nov-18-2020,175.49,7.37M,-0.57%
Nov-19-2020,175.16,6.69M,-0.19%
Nov-20-2020,175.69,6.38M,0.30%
Nov-21-2020,175.69,,0%
Nov-22-2020,175.69,,0%
Nov-23-2020,172.23,15.42M,-1.97%
Nov-24-2020,169.59,18.83M,-1.53%
Nov-25-2020,169.51,10.29M,-0.05%
Nov-26-2020,169.51,,0%
Nov-27-2020,167.79,10.57M,-1.01%
Nov-28-2020,167.79,,0%
Nov-29-2020,167.79,,0%
Nov-30-2020,166.67,13.10M,-0.67%
Dec-01-2020,170.18,13.47M,2.11%
Dec-02-2020,171.46,9.17M,0.75%
Dec-03-2020,172.81,10.24M,0.79%
Dec-04-2020,172.32,10.10M,-0.28%
Dec-05-2020,172.32,,0%
Dec-06-2020,172.32,,0%
Dec-07-2020,174.89,10.52M,1.49%
Dec-08-2020,175.50,6.33M,0.35%
Dec-09-2020,172.50,10.74M,-1.71%
Dec-10-2020,172.17,6.55M,-0.19%
Dec-11-2020,172.49,6.08M,0.19%
Dec-12-2020,172.49,,0%
Dec-13-2020,172.49,,0%
Dec-14-2020,171.54,7.63M,-0.55%
Dec-15-2020,173.94,6.84M,1.40%
Dec-16-2020,174.90,8.14M,0.55%
Dec-17-2020,176.74,9.44M,1.05%
Dec-18-2020,176.44,6.79M,-0.17%
Dec-19-2020,176.44,,0%
Dec-20-2020,176.44,,0%
Dec-21-2020,175.88,7.68M,-0.32%
Dec-22-2020,174.49,9.43M,-0.79%
Dec-23-2020,175.65,6.53M,0.66%
Dec-24-2020,176.35,3.70M,0.40%
Dec-25-2020,176.35,,0%
Dec-26-2020,176.35,,0%
Dec-27-2020,176.35,,0%
Dec-28-2020,175.71,7.77M,-0.36%
Dec-29-2020,176.35,5.98M,0.36%
Dec-30-2020,177.70,5.58M,0.77%
Dec-31-2020,178.36,7.54M,0.37%
