ST,CB,PB,GO,CA,Methodology,Rebal.,Cost,Volatility,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M
0,20,70,0,0,1-OFF,YES,193,36.184955326249046,-7.93,-24.98,-44.27,-60.23,-71.46
0,20,70,0,0,DCA,NO,193,6.161912770461509,2.29,0.68,1.53,-0.43,-1.82
0,20,70,0,0,DCA,YES,193,4.149467233751027,-7.92,-18.27,-29.04,-39.2,-47.18
0,15,75,0,0,1-OFF,NO,202,1.4022246954631892,2.38,3.14,4.65,2.48,0.84
0,15,75,0,0,1-OFF,YES,202,36.28152796995761,-7.86,-24.81,-44.38,-60.29,-71.52
0,15,75,0,0,DCA,NO,202,6.160696817179114,2.38,0.88,1.21,-0.59,-1.99
0,15,75,0,0,DCA,YES,202,4.145596727266315,-7.83,-18.11,-29.24,-39.28,-47.26
0,10,80,0,0,1-OFF,NO,211,1.4630290193826057,2.46,3.37,4.44,2.33,0.63
0,10,80,0,0,1-OFF,YES,211,36.37885948422227,-7.78,-24.64,-44.5,-60.35,-71.58
0,10,80,0,0,DCA,NO,211,6.1594832359479454,2.46,1.07,0.9,-0.75,-2.17
0,10,80,0,0,DCA,YES,211,4.141737507746164,-7.75,-17.95,-29.43,-39.36,-47.34
0,5,85,0,0,1-OFF,NO,219,1.5370689083880538,2.55,3.61,4.22,2.18,0.43
0,5,85,0,0,1-OFF,YES,219,36.476946906165196,-7.7,-24.47,-44.61,-60.41,-71.63
0,5,85,0,0,DCA,NO,219,6.1582720531477415,2.55,1.26,0.58,-0.91,-2.35
0,5,85,0,0,DCA,YES,219,4.137889654782192,-7.67,-17.79,-29.63,-39.44,-47.42
